OG1	OG2	direction	pvalue	qvalue	signif
OG0000683	OG0000550	44	9.4559602153833e-49	5.417547841613552e-44	TRUE
OG0000913	OG0000906	38	1.0082500867538652e-48	5.753402071345697e-44	TRUE
OG0000855	OG0001062	42	1.2154711738870044e-48	6.908239857617583e-44	TRUE
OG0001186	OG0001189	30	1.9934616351600888e-48	1.1285058302755867e-43	TRUE
OG0000312	OG0000279	31	2.063819104636328e-48	1.1637175211435207e-43	TRUE
OG0000450	OG0000467	38	3.033242237480654e-48	1.703608680201422e-43	TRUE
OG0000660	OG0000589	44	3.2310693237558716e-48	1.800540011742151e-43	TRUE
OG0000624	OG0000623	44	3.2310693237558716e-48	1.800540011742151e-43	TRUE
OG0000027	OG0001155	61	3.2649457148042014e-48	1.8123384627492856e-43	TRUE
OG0000772	OG0000693	48	3.6181881020394926e-48	2.0006351793079116e-43	TRUE
OG0000417	OG0000452	36	4.3072252015357975e-48	2.3724347744998688e-43	TRUE
OG0000470	OG0000610	40	4.3652414983652385e-48	2.395142699424435e-43	TRUE
OG0000753	OG0000581	46	4.4683196797560474e-48	2.4423066681601648e-43	TRUE
OG0000587	OG0000499	43	4.9991593350520535e-48	2.722025276058713e-43	TRUE
OG0001203	OG0001212	34	5.1800119472896366e-48	2.7960162679021195e-43	TRUE
OG0000723	OG0000765	49	5.193846399577716e-48	2.7960162679021195e-43	TRUE
OG0000353	OG0000316	34	5.1800119472896366e-48	2.7960162679021195e-43	TRUE
OG0000683	OG0000392	42	6.509053174998701e-48	3.490861743739902e-43	TRUE
OG0000898	OG0000783	48	7.766274892361158e-48	4.149520965860286e-43	TRUE
OG0000500	OG0000343	39	7.832262838628833e-48	4.169163483515016e-43	TRUE
OG0000827	OG0000728	54	9.697707425268353e-48	5.142961385210966e-43	TRUE
OG0000458	OG0000326	37	1.0707287465518334e-47	5.6573384928056875e-43	TRUE
OG0000880	OG0000882	52	1.27251888097539e-47	6.698713597758822e-43	TRUE
OG0000558	OG0000361	39	1.4105481485412918e-47	7.398019593194852e-43	TRUE
OG0000453	OG0000544	39	1.4219160972885848e-47	7.430324652665407e-43	TRUE
OG0001533	OG0001548	43	1.5893341172837855e-47	8.274868661686978e-43	TRUE
OG0000609	OG0000679	36	1.9017622805672595e-47	9.865520458727817e-43	TRUE
OG0000397	OG0000413	37	2.253588488544695e-47	1.1648285307737054e-42	TRUE
OG0000662	OG0000751	48	2.46114130030226e-47	1.2675154019641258e-42	TRUE
OG0001151	OG0001132	43	2.6177333292645365e-47	1.3433125512118216e-42	TRUE
OG0001334	OG0001324	37	3.210604544915197e-47	1.6416443596236985e-42	TRUE
OG0001375	OG0001406	48	3.4840938451678447e-47	1.7751222964795616e-42	TRUE
OG0000386	OG0000277	33	3.5571369206496527e-47	1.793125194738867e-42	TRUE
OG0000290	OG0000630	33	3.5571369206496527e-47	1.793125194738867e-42	TRUE
OG0000323	OG0000630	33	3.5571369206496527e-47	1.793125194738867e-42	TRUE
OG0000723	OG0000747	48	4.280378188217452e-47	2.1501079662546684e-42	TRUE
OG0000395	OG0000396	35	5.0198975721638115e-47	2.5039479022324403e-42	TRUE
OG0000351	OG0000358	35	5.0198975721638115e-47	2.5039479022324403e-42	TRUE
OG0001815	OG0001798	32	5.277148703253923e-47	2.6230942863942698e-42	TRUE
OG0000249	OG0000248	30	6.168004824083573e-47	3.044691732438217e-42	TRUE
OG0000204	OG0000248	30	6.168004824083573e-47	3.044691732438217e-42	TRUE
OG0001212	OG0001213	34	6.351744484714651e-47	3.1245788392838475e-42	TRUE
OG0000642	OG0000477	42	6.37583940433376e-47	3.125653605105773e-42	TRUE
OG0000514	OG0000742	44	6.593432270765651e-47	3.221255432056287e-42	TRUE
OG0000603	OG0000646	43	7.21124980944522e-47	3.5110691759498814e-42	TRUE
OG0000690	OG0000392	42	8.893966042927311e-47	4.3156339662863564e-42	TRUE
OG0000558	OG0000468	40	9.999077474872638e-47	4.835422014606451e-42	TRUE
OG0000916	OG0001069	44	1.1373156993782787e-46	5.481327977926803e-42	TRUE
OG0000654	OG0000801	49	1.250821304179737e-46	6.008074181886073e-42	TRUE
OG0000920	OG0000606	49	1.3150285457543547e-46	6.295284796421636e-42	TRUE
OG0000903	OG0000623	44	1.4696448749181303e-46	7.011931780167453e-42	TRUE
OG0001523	OG0001486	36	1.7006821875532952e-46	8.033645913477436e-42	TRUE
OG0001327	OG0001340	36	1.7006821875532952e-46	8.033645913477436e-42	TRUE
OG0001326	OG0001340	36	1.7006821875532952e-46	8.033645913477436e-42	TRUE
OG0000731	OG0000563	39	2.02260189569046e-46	9.52279088190159e-42	TRUE
OG0000935	OG0000963	42	2.1591648364741e-46	1.0132314958876779e-41	TRUE
OG0000694	OG0000807	48	2.2254255048956687e-46	1.040901627784301e-41	TRUE
OG0000638	OG0000743	51	2.2558867050975662e-46	1.0517010905991703e-41	TRUE
OG0000614	OG0000476	40	2.3397380645048172e-46	1.0872397725645445e-41	TRUE
OG0001155	OG0001154	59	2.6314511314561483e-46	1.2188241719834271e-41	TRUE
OG0001146	OG0001164	59	3.077214190856732e-46	1.4206781894265393e-41	TRUE
OG0000431	OG0000432	36	3.477220810205947e-46	1.6001733833440287e-41	TRUE
OG0001659	OG0001660	27	3.5430487694527645e-46	1.625223926327836e-41	TRUE
OG0000390	OG0000309	34	3.808770905699747e-46	1.7415130090708784e-41	TRUE
OG0000719	OG0000834	35	3.9925441149574984e-46	1.8139133679345839e-41	TRUE
OG0000371	OG0000266	35	3.9925441149574984e-46	1.8139133679345839e-41	TRUE
OG0000317	OG0000525	38	4.033130504852419e-46	1.826535794303466e-41	TRUE
OG0000577	OG0000590	41	4.4245508154049525e-46	1.9974622054576872e-41	TRUE
OG0001184	OG0001189	29	5.093294477834029e-46	2.2921128198146356e-41	TRUE
OG0001491	OG0001595	28	5.6081005863462876e-46	2.515852296660544e-41	TRUE
OG0000381	OG0000304	33	6.177230573957869e-46	2.762482879984466e-41	TRUE
OG0000652	OG0000436	39	9.128479350127985e-46	4.0695362851977693e-41	TRUE
OG0001700	OG0001693	29	9.839340799865977e-46	4.3504300519529454e-41	TRUE
OG0000207	OG0000154	29	9.839340799865977e-46	4.3504300519529454e-41	TRUE
OG0000274	OG0000257	30	9.850045726673384e-46	4.3504300519529454e-41	TRUE
OG0000810	OG0000801	53	1.0727132398271023e-45	4.723186523633059e-41	TRUE
OG0001264	OG0001154	54	1.1762620124799712e-45	5.163178940467357e-41	TRUE
OG0000765	OG0000770	51	1.2272653343226439e-45	5.370532302545596e-41	TRUE
OG0000366	OG0000438	35	1.2947964274256054e-45	5.64872205416786e-41	TRUE
OG0000463	OG0000335	36	1.4922391143115758e-45	6.490244259626931e-41	TRUE
OG0000656	OG0000674	46	1.6405131541786346e-45	7.113450030555092e-41	TRUE
OG0000542	OG0000322	38	1.9244300272306938e-45	8.319259106423613e-41	TRUE
