OG1	OG2	direction	pvalue	qvalue	signif
OG0000619	OG0000726	43	6.639705700260606e-47	2.8380476196462165e-42	TRUE
OG0001728	OG0001669	35	6.635881533125707e-47	2.8380476196462165e-42	TRUE
OG0001669	OG0001729	35	6.635881533125707e-47	2.8380476196462165e-42	TRUE
OG0000764	OG0000726	46	7.102393922282742e-47	2.9990935151401283e-42	TRUE
OG0000773	OG0000750	46	7.102393922282742e-47	2.9990935151401283e-42	TRUE
OG0000750	OG0000790	46	7.102393922282742e-47	2.9990935151401283e-42	TRUE
OG0000522	OG0000641	38	7.223953655638048e-47	3.0260205639074015e-42	TRUE
OG0000516	OG0000647	38	7.223953655638048e-47	3.0260205639074015e-42	TRUE
OG0000462	OG0000579	40	9.119564679276632e-47	3.789749458919382e-42	TRUE
OG0000557	OG0000628	40	9.119564679276632e-47	3.789749458919382e-42	TRUE
OG0000732	OG0000838	48	9.682822135182499e-47	4.0079137381947404e-42	TRUE
OG0000652	OG0000653	44	1.0451469723590524e-46	4.3090405670909963e-42	TRUE
OG0000697	OG0000826	49	1.1381412947463012e-46	4.6740454711573096e-42	TRUE
OG0000318	OG0000634	43	1.1690077283237428e-46	4.7820526079556326e-42	TRUE
OG0000006	OG0001197	54	1.1857658885804888e-46	4.831731159537458e-42	TRUE
OG0000494	OG0000469	39	1.3045729945669162e-46	5.295239536415422e-42	TRUE
OG0000627	OG0000694	37	1.3120155804079843e-46	5.304887286785545e-42	TRUE
OG0000613	OG0000763	38	1.3353346178744711e-46	5.378407360490078e-42	TRUE
OG0000869	OG0000742	52	1.4894619050421627e-46	5.976209660880005e-42	TRUE
OG0000645	OG0000533	39	1.8770185921000856e-46	7.5024691037192e-42	TRUE
OG0000443	OG0000429	36	2.2811014408041196e-46	9.082926145229778e-42	TRUE
OG0000665	OG0000783	42	2.4685865852126873e-46	9.79222469378267e-42	TRUE
OG0001182	OG0001195	58	3.254267688768322e-46	1.286009961807362e-41	TRUE
OG0000831	OG0000115	39	4.06968140944083e-46	1.602196239984678e-41	TRUE
OG0000163	OG0000396	35	4.5425806380581105e-46	1.7816743047167348e-41	TRUE
OG0000334	OG0000305	29	4.820271298800412e-46	1.8835346794323317e-41	TRUE
