OG1	OG2	direction	pvalue	qvalue	signif
OG0000450	OG0000509	37	2.231841494250184e-49	1.1129636634233769e-44	true
OG0000163	OG0000396	37	2.231841494250184e-49	1.1129636634233769e-44	true
OG0001161	OG0001173	45	2.251990111168312e-49	1.1176889476025655e-44	true
OG0001206	OG0000006	58	2.3255703287813124e-49	1.1487632916686681e-44	true
OG0000390	OG0000474	38	2.712527612106283e-49	1.3274263494179104e-44	true
OG0000897	OG0000891	34	2.7126094784449078e-49	1.3274263494179104e-44	true
OG0001405	OG0001414	34	3.951343561556127e-49	1.9246123354922137e-44	true
OG0001528	OG0001544	36	4.044306152237295e-49	1.9607724918570253e-44	true
OG0001201	OG0000006	57	5.2726251460036824e-49	2.5445096088007495e-44	true
OG0001485	OG0001522	45	5.50735308693621e-49	2.645594991767857e-44	true
OG0000525	OG0000834	41	7.187072878718524e-49	3.436725667158312e-44	true
OG0000740	OG0000915	49	7.531238287383482e-49	3.584929674700836e-44	true
OG0000246	OG0000936	41	8.681114137620921e-49	4.1135816798757695e-44	true
OG0000361	OG0000256	33	9.899802284622179e-49	4.669931166205656e-44	true
OG0000817	OG0000615	48	1.0321801355387997e-48	4.847162351150746e-44	true
OG0000631	OG0000696	46	1.0640208617328596e-48	4.974381130240255e-44	true
OG0001160	OG0001202	70	1.077321360843251e-48	5.014177288582237e-44	true
OG0000719	OG0000706	47	1.628854299328452e-48	7.514382775737547e-44	true
OG0000692	OG0000706	47	1.628854299328452e-48	7.514382775737547e-44	true
OG0000318	OG0000634	45	1.872251237220414e-48	8.599361610697336e-44	true
OG0001234	OG0001238	30	1.882918476093911e-48	8.610591124588309e-44	true
OG0000489	OG0000615	41	2.1948718597804685e-48	9.993514962203647e-44	true
OG0000515	OG0000776	38	2.8204074829638446e-48	1.2786062144291941e-43	true
OG0000652	OG0000653	44	2.969011549924033e-48	1.3401729093464336e-43	true
OG0000558	OG0000632	43	3.0110062178042316e-48	1.3532955815425e-43	true
OG0000804	OG0000735	47	3.060726183983576e-48	1.3697633883112984e-43	true
OG0000403	OG0000374	35	3.7356781588379585e-48	1.6594864999995382e-43	true
OG0001022	OG0001032	82	3.7398035900073776e-48	1.6594864999995382e-43	true
OG0000643	OG0000523	40	4.042922372920583e-48	1.786421714918227e-43	true
OG0000797	OG0000865	46	4.089476802512773e-48	1.799400034614748e-43	true
OG0000388	OG0000350	34	4.854577055356004e-48	2.1271123568723774e-43	true
OG0000684	OG0000769	47	5.342903991091181e-48	2.33132628940872e-43	true
OG0000603	OG0000296	38	6.808820761683467e-48	2.958637733145366e-43	true
OG0001059	OG0001070	42	6.924671308020567e-48	2.996544490898413e-43	true
OG0000960	OG0000884	66	8.294988071395134e-48	3.574756172903309e-43	true
OG0000746	OG0000833	54	8.74164154476296e-48	3.751803638756951e-43	true
OG0000356	OG0000499	37	9.975540883077367e-48	4.2639028499094536e-43	true
