genome	Subclade	Family	Genus	Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source
HIMB1491	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1765	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1494	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1495	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1593	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1509	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-898-C07	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA
HIMB1485	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1492	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1493	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1518	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1770	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1507	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1526	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
HIMB1552	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
