genome	Clade1	original_Subclade	harmonized_Subclade	original_Family	harmonized_Family	original_Genus	harmonized_Genus	original_Species	harmonized_Species	subclade_changed	family_changed	genus_changed	species_changed
AG-916-B15	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-896-F06	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-916-O20	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-901-I06	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-337-C19	I	Ib.2.b	Ib.N10	Pelagibacteraceae	Pelagibacteraceae	Fususpelagibacter	Fusipelagibacter	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-893-L13	I	Ib.2.b	Ib.N10	Pelagibacteraceae	Pelagibacteraceae	Fususpelagibacter	Fusipelagibacter	NA	tranquillus	TRUE	FALSE	TRUE	TRUE
AG-899-M19	I	Ib.2.b	Ib.N10	Pelagibacteraceae	Pelagibacteraceae	Fususpelagibacter	Fusipelagibacter	NA	tranquillus	TRUE	FALSE	TRUE	TRUE
AG-917-F16	I	Ib.2.b	Ib.N10	Pelagibacteraceae	Pelagibacteraceae	Fususpelagibacter	Fusipelagibacter	NA	tranquillus	TRUE	FALSE	TRUE	TRUE
AG-905-M05	I	Ib.2.b	Ib.N10	Pelagibacteraceae	Pelagibacteraceae	Fususpelagibacter	Fusipelagibacter	tranquillus	tranquillus	TRUE	FALSE	TRUE	FALSE
AG-893-P02	I	Ib.2.b	NA	Pelagibacteraceae	Pelagibacteraceae	Fususpelagibacter	NA	NA	NA	TRUE	FALSE	TRUE	FALSE
AG-426-F15	I	Ib.2.a	Ib.N7	Pelagibacteraceae	Pelagibacteraceae	Parvipelagibacter	Parvipelagibacter	dignotus	dignotus	TRUE	FALSE	FALSE	FALSE
AG-903-L07	I	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Pelagibacteraceae	Parvipelagibacter	Parvipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-905-O08	I	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Pelagibacteraceae	Parvipelagibacter	Parvipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-916-G09	I	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Pelagibacteraceae	Parvipelagibacter	Parvipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-918-B06	I	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Pelagibacteraceae	Parvipelagibacter	Parvipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-915-G13	I	Ib.2.a	Ib.2.N7	Pelagibacteraceae	Pelagibacteraceae	Parvipelagibacter	Parvipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-365-D07	I	Ib.3	NA	Pelagibacteraceae	Pelagibacteraceae	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-390-C19	I	Ib.3	NA	Pelagibacteraceae	Pelagibacteraceae	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-422-N14	I	Ib.3	NA	Pelagibacteraceae	Pelagibacteraceae	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-426-G09	I	Ib.3	NA	Pelagibacteraceae	Pelagibacteraceae	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-414-M23	I	Ib.3	NA	Pelagibacteraceae	Pelagibacteraceae	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-439-O15	I	Ib.3	NA	Pelagibacteraceae	Pelagibacteraceae	NA	NA	NA	NA	TRUE	FALSE	FALSE	FALSE
