1512	1985	2
1515	1690	1
1515	1706	2
1515	1883	1
1544	1693	3
1544	2195	1
1553	1829	2
1553	2120	1
1553	2158	3
1553	2207	1
1553	2213	2
1553	2224	5
1553	2233	5
1558	1690	2
1558	1754	1
1558	1908	1
1558	2058	2
1558	2223	1
1558	2233	1
1576	1896	2
1576	1927	3
1576	1979	5
1576	2078	2
1586	1691	1
1587	1832	1
1587	2070	6
1593	1798	1
1603	1796	2
1603	1837	2
1603	1841	2
1603	1882	1
1603	2065	2
1625	1801	2
1625	1932	2
1625	2109	1
1626	1642	2
1626	1798	1
1626	2153	1
1630	1642	1
1659	1841	1
1660	1696	1
1660	1795	2
1690	1706	1
1690	1754	2
1690	1758	1
1690	1866	2
1690	1908	1
1690	2058	1
1690	2065	1
1690	2158	1
1690	2195	1
1690	2223	1
1690	2233	1
1690	2253	5
1691	1866	1
1691	2253	2
1693	2181	1
1693	2195	1
1696	1769	4
1696	1771	1
1696	1795	1
1696	1796	3
1696	1873	1
1696	1896	1
1696	1927	3
1696	1979	1
1696	2078	1
1696	2233	1
1706	1848	1
1706	1883	1
1706	1985	1
1727	1832	2
1727	1926	1
1727	1985	3
1727	2230	1
1745	2090	3
1745	2233	1
1754	1758	1
1754	1908	2
1754	2158	1
1754	2211	1
1754	2223	1
1754	2233	1
1758	2018	1
1758	2075	2
1758	2158	1
1758	2233	1
1761	1777	1
1761	1985	1
1764	1798	1
1764	1969	1
1769	1771	3
1769	1787	1
1769	1796	4
1769	1829	1
1769	1896	2
1769	1927	2
1769	2078	1
1771	1787	2
1771	1796	1
1771	1829	2
1771	1873	2
1771	1896	3
1771	1908	2
1771	2078	1
1787	2078	1
1796	1829	1
1796	1837	2
1796	1841	2
1796	1896	1
1796	1927	1
1796	2065	2
1798	1843	3
1798	1873	1
1798	1896	1
1798	1926	1
1798	1984	1
1798	2109	4
1798	2230	1
1801	1932	2
1801	2109	2
1801	2181	1
1803	1892	3
1803	1927	1
1803	1979	1
1809	1883	3
1809	1999	3
1817	1829	1
1817	1873	1
1817	1908	1
1817	2019	1
1817	2024	1
1817	2025	1
1817	2030	1
1817	2219	1
1817	2221	1
1817	2223	1
1829	1873	3
1829	1896	3
1829	1908	2
1829	2018	1
1829	2022	2
1829	2035	1
1829	2058	1
1829	2158	1
1829	2207	1
1829	2213	1
1829	2224	2
1829	2233	3
1832	1985	2
1832	2195	1
1832	2230	1
1833	2012	1
1833	2029	1
1833	2031	1
1837	1841	2
