id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
2181	"young, cr"	-0.1785	0.081	8	5	7	3	2012.3333
2195	"zehr, jp"	-0.0167	0.155	8	11	11	6	2011.5
2207	"zhang, h"	-0.8505	0.7341	5	13	19	3	2018.3333
2211	"zhang, n"	-0.9584	0.4417	2	12	22	3	2022
2213	"zhang, r"	-0.7252	0.4772	2	13	21	7	2016.8571
2215	"zhang, sf"	-0.964	0.7587	5	8	16	3	2019.3333
2219	"zhang, xh"	-0.8119	0.303	2	14	17	3	2020
2221	"zhang, y"	-0.8834	0.4519	5	20	20	4	2021
2223	"zhang, yz"	-0.8519	0.3648	2	21	51	8	2020.75
2224	"zhang, z"	-0.5269	0.6397	2	15	41	8	2020.75
2230	"zhao, w"	0.2175	-0.1826	8	10	11	3	2012.6667
2233	"zhao, y"	-0.3115	0.5163	2	33	67	14	2020.2143
2253	"zubkov, mv"	0.7507	0.3963	10	9	25	10	2011.4
2257	"øvreås, l"	0.9259	0.0402	16	2	3	3	2021.3333
