OG_ID	ko_best	ko_best_definition	ko_support	n_genes	ko_rate
OG0001742	K03629	DNA replication and repair protein RecF	40	43	0.9302325581395349
OG0001744	K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	43	43	1
OG0001745	K03177	tRNA pseudouridine55 synthase [EC:5.4.99.25]	42	43	0.9767441860465116
OG0001754	K01847	methylmalonyl-CoA mutase [EC:5.4.99.2]	22	42	0.5238095238095238
OG0001754	K14447	ethylmalonyl-CoA mutase [EC:5.4.99.63]	20	42	0.47619047619047616
OG0001756	K00989	ribonuclease PH [EC:2.7.7.56]	42	42	1
OG0001757	K00799	glutathione S-transferase [EC:2.5.1.18]	42	42	1
OG0001758	K06199	fluoride exporter	42	42	1
OG0001760	K07406	alpha-galactosidase [EC:3.2.1.22]	41	42	0.9761904761904762
OG0001763	K01775	alanine racemase [EC:5.1.1.1]	40	41	0.975609756097561
OG0001767	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	40	40	1
OG0001779	K14731	epsilon-lactone hydrolase [EC:3.1.1.83]	18	39	0.46153846153846156
OG0001786	K00230	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	38	38	1
OG0001789	K01563	haloalkane dehalogenase [EC:3.8.1.5]	22	38	0.5789473684210527
OG0001790	K04751	nitrogen regulatory protein P-II 1	38	38	1
OG0001803	K09705	uncharacterized protein	36	36	1
OG0001809	K07795	putative tricarboxylic transport membrane protein	34	36	0.9444444444444444
OG0001811	K05595	multiple antibiotic resistance protein	35	36	0.9722222222222222
OG0001813	K03321	sulfate permease, SulP family	34	36	0.9444444444444444
OG0001814	K01153	type I restriction enzyme, R subunit [EC:3.1.21.3]	34	35	0.9714285714285714
OG0001816	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	15	35	0.42857142857142855
OG0001816	K07452	5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]	3	35	0.08571428571428572
OG0001820	K16435	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase [EC:4.2.1.159]	14	35	0.4
OG0001824	K16653	decaprenylphospho-beta-D-ribofuranose 2-oxidase [EC:1.1.98.3]	14	34	0.4117647058823529
